时间,确诊病例,无症状感染者,无症状转确诊,野生确诊,管控内确诊,管控内无症状,例行筛查确诊,例行筛查无症状,确诊密接,无症状密接,本土医学观察中无症状,解除医学观察,本土在院治疗中,治愈出院,重症,死亡
20220228,,3,,,,3,,,,,,,,,,
20220301,1,1,,1,,1,,,78,2,10,,1,,,
20220302,,,,,,,,,,,,,,,,
20220303,2,14,,,,14,2,,127,96,29,,6,,,
20220304,3,16,,,3,15,0,1,55,71,45,,9,,,
20220305,0,28,,,0,22,0,6,0,113,73,,9,,,
20220306,3,45,,,3,44,0,1,0,0,118,,12,,,
20220307,4,51,,,4,51,0,0,0,237,169,,16,,,
20220308,3,62,,1,2,62,,,19,16,231,,19,,,
20220309,4,76,,1,3,64,,12,49,54,306,,23,,,
20220310,11,64,,,11,61,0,3,0,28,370,,34,,,
20220311,5,78,,,4,57,1,21,3,63,448,,39,,,
20220312,1,64,,,1,60,0,4,0,13,512,,40,,,
20220313,41,128,2,,32,90,7,38,,,,,,,,
20220314,9,130,,,5,102,4,28,11,82,767,,90,,,
20220315,5,197,,,4,153,1,44,3,153,961,,95,,,
20220316,8,150,1,,2,69,5,81,13,242,1106,,103,,,
20220317,57,203,,,2,103,55,100,162,287,1297,,160,,,
