address,district
,徐汇区
山联路181号,宝山区
草镇村,浦东新区
东诸安滨路103号,长宁区
宁俭堂,闵行区
车站东路195号,黄浦区
恒信居民区康妙东区,金山区
宝华路1018号,浦东新区
金磐路18号,金山区
绥徳路607号,普陀区
红四村,浦东新区
大公村,崇明区
荡沟村,浦东新区
北沈126号,闵行区
六灶村,浦东新区
军工1300号,杨浦区
莘荟街,闵行区
北蔡镇一六村船舫队,浦东新区
北蔡镇一六村油车队,浦东新区
曹路镇顾东村顾路老街,浦东新区
曹路镇日新村龚家宅,浦东新区
川沙新镇陈行村张家宅,浦东新区
川沙新镇杜尹村,浦东新区
川沙新镇华路村瞿家宅,浦东新区
川沙新镇药师村,浦东新区
东方路1369号,浦东新区
芳华路9弄,浦东新区
高桥镇三岔港村草高路宅,浦东新区
高翔环路562号,浦东新区
海鸣路顾如路交界口工地生活区,浦东新区
航头镇果园村倪桥,浦东新区
航头镇鹤鸣村许冯,浦东新区
合庆镇勤俭村北杨家宅,浦东新区
沪南公路4699弄工地生活区,浦东新区
老港镇大河村港南,浦东新区
浦东大道637号,浦东新区
浦明路1188弄,浦东新区
三林镇临江村益民队小金家宅,浦东新区
三林镇新春村方家队方巷,浦东新区
三林镇中林村小中林队小中林,浦东新区
沈梅路123弄,浦东新区
唐镇虹三村龚家宅,浦东新区
唐镇民丰村李家宅,浦东新区
唐镇暮二村顾家宅,浦东新区
唐镇一心村缪家宅,浦东新区
塘桥路400弄,浦东新区
西门路450弄,浦东新区
秀浦路3188号,浦东新区
洋泾镇路61号生活区,浦东新区
迎春路736弄,浦东新区
张江镇沔北村顾家宅,浦东新区
周浦镇瓦南村陆弄,浦东新区
祝桥镇卫东村朱家宅,浦东新区
白河路39号,黄浦区
大沽路218号,黄浦区
丹凤路102弄,黄浦区
淡水路274号,黄浦区
福建中路205号,黄浦区
贵州路169号,黄浦区
海南西弄95号,黄浦区
淮海中路475号,黄浦区
淮海中路796号,黄浦区
建国东路139号,黄浦区
建国东路153号,黄浦区
江阴路140号,黄浦区
静修路89号,黄浦区
巨鹿路318号,黄浦区
丽园路448弄,黄浦区
陆家浜路1331号,黄浦区
毛家园路161号,黄浦区
南昌路310弄,黄浦区
南京西路471弄,黄浦区
宁波路232号,黄浦区
宁波路636号,黄浦区
宁波路70号,黄浦区
宁海东路4号,黄浦区
牛庄路620号,黄浦区
尚文路198号,黄浦区
绍兴路45号,黄浦区
顺昌路501号,黄浦区
思南路53号,黄浦区
泰康路328号,黄浦区
文庙路103号,黄浦区
文庙路137号,黄浦区
五里桥路252号,黄浦区
斜土路435弄,黄浦区
肇周路354号,黄浦区
中山南路943号,黄浦区
中山南一路1022号,黄浦区
宝通路214弄,静安区
常德路619号,静安区
长安路490号,静安区
长乐路650号,静安区
场中路3220弄,静安区
汾西路850号,静安区
公兴路203号,静安区
公兴路220弄,静安区
广延路42弄,静安区
海防路338弄,静安区
海防路377号,静安区
黄山路250号,静安区
京江路201号,静安区
康乐路203弄,静安区
临山路20号,静安区
柳营路463弄,静安区
洛川东路352弄,静安区
洛川东路99号,静安区
洛川中路970号,静安区
洛川中路990号,静安区
南京西路1081号,静安区
南苏州路1455号,静安区
平陆路312弄,静安区
平顺路921号,静安区
青云路315弄,静安区
青云路570弄,静安区
青云路702号,静安区
三泉路59号,静安区
三泉路925号,静安区
石门一路29号,静安区
泰兴路555号,静安区
泰兴路626号,静安区
谈家桥路1100弄,静安区
谈家桥路182号,静安区
通阁路205弄,静安区
万荣路100号,静安区
万荣路28号,静安区
万荣路949弄,静安区
乌鲁木齐北路65弄,静安区
乌镇路200号,静安区
武定西路1470弄,静安区
西藏北路1318号,静安区
西藏北路21号,静安区
西藏北路571号,静安区
西藏北路979号,静安区
西康路340号,静安区
新疆路425号,静安区
新马路187号,静安区
新马路218号,静安区
新闸路1999弄,静安区
延平路200弄,静安区
永兴路932号,静安区
永兴支路1号,静安区
原平路758弄,静安区
止园路339号,静安区
芷江中路428弄,静安区
中华新路619号,静安区
中华新路815弄,静安区
中山北路588号,静安区
安福路198号,徐汇区
茶陵路78号,徐汇区
番禺路650弄,徐汇区
复兴中路1282弄,徐汇区
广元西路88号,徐汇区
虹桥路772弄,徐汇区
沪闵路9118号,徐汇区
龙华路127号,徐汇区
龙华西路97号,徐汇区
罗城路570号,徐汇区
瑞金南路546号,徐汇区
塘子泾234弄,徐汇区
田林路8号,徐汇区
乌鲁木齐中路186号,徐汇区
五原路212弄,徐汇区
襄阳南路318号,徐汇区
斜土路1155弄,徐汇区
斜土路1642号,徐汇区
肇嘉浜路539号,徐汇区
肇嘉浜路665号,徐汇区
中漕路100弄,徐汇区
芙蓉江路388号,长宁区
华山路1635号,长宁区
茅台路601弄（住宅）,长宁区
延安西路2077号,长宁区
愚园路1376弄（住宅）,长宁区
紫云路118弄,长宁区
遵义路402弄,长宁区
北石路105号,普陀区
曹杨路595号,普陀区
长寿路68号,普陀区
礼泉路700弄,普陀区
同普路1175弄,普陀区
武宁路1068号,普陀区
宜川路22号,普陀区
真北路930弄,普陀区
真光路1915弄,普陀区
宝安路102号,虹口区
宝安路12号,虹口区
宝安路60弄,虹口区
保定路330号,虹口区
北海宁路220号,虹口区
场中路28弄,虹口区
场中路8弄,虹口区
长春路214弄,虹口区
东大名路1118号,虹口区
东汉阳路22号,虹口区
东汉阳路405弄,虹口区
东江湾路440号,虹口区
东体育会路1188号,虹口区
东余杭路760弄,虹口区
东长治路909弄,虹口区
多伦路239号,虹口区
公平路36号,虹口区
广灵二路295号,虹口区
广灵二路29号,虹口区
广中路653号,虹口区
海门路587号,虹口区
华昌路135号,虹口区
黄渡路29弄,虹口区
黄渡路74号,虹口区
惠民路220弄,虹口区
嘉兴路335号,虹口区
金田路65号,虹口区
溧阳路1281号,虹口区
溧阳路175号,虹口区
凉城路1315号,虹口区
凉城路1318弄,虹口区
凉城路212号,虹口区
马厂路250号,虹口区
山阴路132弄,虹口区
水电路1303号,虹口区
四川北路787号,虹口区
同心路69弄,虹口区
同心路959号,虹口区
吴淞路400号,虹口区
武进路244号,虹口区
新港路22号,虹口区
邢家桥路61号,虹口区
逸仙路448号,虹口区
玉田路414弄,虹口区
玉田路426号,虹口区
玉田支路18号,虹口区
中州路64弄,虹口区
中州路68弄,虹口区
周家嘴路484号,虹口区
周家嘴路547号,虹口区
周家嘴路980号,虹口区
爱囯路301弄,杨浦区
长海路136号,杨浦区
长阳路1313号,杨浦区
长阳路2320号,杨浦区
飞虹路755弄,杨浦区
飞虹路760弄,杨浦区
共青路95号,杨浦区
国定路227弄,杨浦区
国定路77号,杨浦区
国和路858号,杨浦区
国顺路280号,杨浦区
国通路133号,杨浦区
杭州路903号,杨浦区
霍山路1196号,杨浦区
江浦路1177号,杨浦区
控江路34号,杨浦区
隆昌路247弄,杨浦区
隆昌路66号,杨浦区
隆昌路690号,杨浦区
民府路710号,杨浦区
内江路260号,杨浦区
平凉路1055号,杨浦区
平凉路1503号,杨浦区
平凉路1638号,杨浦区
平凉路1734号,杨浦区
平凉路1975弄,杨浦区
平凉路199号,杨浦区
世界路65弄,杨浦区
双阳路124弄,杨浦区
