date,district,in_hospital
20220319,浦东,44
20220319,黄浦,18
20220319,徐汇,31
20220319,静安,15
20220319,普陀,8
20220319,虹口,5
20220319,杨浦,1
20220319,闵行,18
20220319,宝山,5
20220319,嘉定,20
20220319,金山,3
20220319,松江,3
20220319,青浦,2
20220319,奉贤,1
20220319,崇明,1
20220320,浦东,45
20220320,黄浦,20
20220320,徐汇,31
20220320,长宁,1
20220320,静安,15
20220320,普陀,8
20220320,虹口,5
20220320,杨浦,1
20220320,闵行,36
20220320,宝山,5
20220320,嘉定,21
20220320,金山,3
20220320,松江,3
20220320,青浦,2
20220320,奉贤,1
20220320,崇明,1
20220321,浦东,50
20220321,黄浦,20
20220321,徐汇,35
20220321,长宁,1
20220321,静安,13
20220321,普陀,8
20220321,虹口,4
20220321,杨浦,1
20220321,闵行,43
20220321,宝山,5
20220321,嘉定,26
20220321,金山,4
20220321,松江,4
20220321,青浦,2
20220321,奉贤,2
20220321,崇明,3
20220322,浦东,48
20220322,黄浦,20
20220322,徐汇,36
20220322,长宁,1
20220322,静安,13
20220322,普陀,7
20220322,虹口,4
20220322,杨浦,1
20220322,闵行,42
20220322,宝山,5
20220322,嘉定,27
20220322,金山,4
20220322,松江,4
20220322,青浦,2
20220322,奉贤,2
20220322,崇明,3
20220323,浦东,45
20220323,黄浦,18
20220323,徐汇,29
20220323,长宁,1
20220323,静安,11
20220323,普陀,6
20220323,虹口,4
20220323,杨浦,1
20220323,闵行,38
20220323,宝山,4
20220323,嘉定,26
20220323,金山,2
20220323,松江,4
20220323,青浦,1
20220323,奉贤,3
20220323,崇明,3
20220324,浦东,56
20220324,黄浦,13
20220324,徐汇,27
20220324,长宁,1
20220324,静安,17
20220324,普陀,8
20220324,虹口,3
20220324,杨浦,2
20220324,闵行,30
20220324,宝山,7
20220324,嘉定,24
20220324,金山,2
20220324,松江,2
20220324,青浦,1
20220324,奉贤,3
20220324,崇明,3
20220325,浦东,86
20220325,黄浦,13
20220325,徐汇,22
20220325,长宁,1
20220325,静安,16
20220325,普陀,8
20220325,虹口,3
20220325,杨浦,2
20220325,闵行,33
20220325,宝山,6
20220325,嘉定,23
20220325,金山,2
20220325,松江,3
20220325,青浦,1
20220325,奉贤,2
20220325,崇明,3
20220326,浦东,84
20220326,黄浦,13
20220326,徐汇,23
20220326,长宁,3
20220326,静安,18
20220326,普陀,8
20220326,虹口,4
20220326,杨浦,4
20220326,闵行,44
20220326,宝山,12
20220326,嘉定,30
20220326,金山,2
20220326,松江,2
20220326,青浦,1
20220326,奉贤,2
20220326,崇明,2
20220327,浦东,84
20220327,黄浦,14
20220327,徐汇,28
20220327,长宁,3
20220327,静安,21
20220327,普陀,11
20220327,虹口,5
20220327,杨浦,4
20220327,闵行,56
20220327,宝山,17
20220327,嘉定,32
20220327,金山,2
20220327,松江,2
20220327,青浦,1
20220327,奉贤,2
20220327,崇明,2
20220329,浦东,286
20220329,黄浦,18
20220329,徐汇,64
20220329,长宁,13
20220329,静安,37
20220329,普陀,20
20220329,虹口,14
20220329,杨浦,6
20220329,闵行,77
20220329,宝山,57
20220329,嘉定,35
20220329,金山,4
20220329,松江,21
20220329,青浦,2
20220329,奉贤,2
20220329,崇明,3
20220330,浦东,529
20220330,黄浦,30
20220330,徐汇,75
20220330,长宁,21
20220330,静安,45
20220330,普陀,26
20220330,虹口,15
20220330,杨浦,9
20220330,闵行,94
20220330,宝山,56
20220330,嘉定,43
20220330,金山,4
20220330,松江,28
20220330,青浦,7
20220330,奉贤,9
20220330,崇明,3
20220331,浦东,707
20220331,黄浦,37
20220331,徐汇,93
20220331,长宁,64
20220331,静安,49
20220331,普陀,31
20220331,虹口,23
20220331,杨浦,14
20220331,闵行,149
20220331,宝山,60
20220331,嘉定,48
20220331,金山,6
20220331,松江,33
20220331,青浦,8
20220331,奉贤,14
20220331,崇明,4
20220401,浦东,778
20220401,黄浦,41
20220401,徐汇,129
20220401,长宁,62
20220401,静安,59
20220401,普陀,43
20220401,虹口,25
20220401,杨浦,25
20220401,闵行,199
20220401,宝山,69
20220401,嘉定,57
20220401,金山,9
20220401,松江,52
20220401,青浦,8
20220401,奉贤,16
20220401,崇明,5
20220402,浦东,881
20220402,黄浦,67
20220402,徐汇,171
20220402,长宁,69
20220402,静安,82
20220402,普陀,82
20220402,虹口,54
20220402,杨浦,44
20220402,闵行,249
20220402,宝山,104
20220402,嘉定,82
20220402,金山,9
20220402,松江,58
20220402,青浦,11
20220402,奉贤,24
20220402,崇明,6
20220403,浦东,1017
20220403,黄浦,80
20220403,徐汇,204
20220403,长宁,82
20220403,静安,109
20220403,普陀,103
20220403,虹口,65
20220403,杨浦,74
20220403,闵行,305
20220403,宝山,136
20220403,嘉定,94
20220403,金山,13
20220403,松江,64
20220403,青浦,14
20220403,奉贤,27
20220403,崇明,7
20220404,浦东,1218
20220404,黄浦,86
20220404,徐汇,211
20220404,长宁,83
20220404,静安,108
20220404,普陀,102
20220404,虹口,70
20220404,杨浦,84
20220404,闵行,313
20220404,宝山,137
20220404,嘉定,95
20220404,金山,14
20220404,松江,69
20220404,青浦,15
20220404,奉贤,29
20220404,崇明,7
20220405,浦东,1376
20220405,黄浦,102
20220405,徐汇,228
20220405,长宁,89
20220405,静安,119
20220405,普陀,108
20220405,虹口,77
20220405,杨浦,93
20220405,闵行,326
20220405,宝山,143
20220405,嘉定,103
20220405,金山,15
20220405,松江,83
20220405,青浦,21
20220405,奉贤,30
20220405,崇明,9
20220406,浦东,1517
20220406,黄浦,110
20220406,徐汇,246
20220406,长宁,118
20220406,静安,141
20220406,普陀,134
20220406,虹口,77
20220406,杨浦,104
20220406,闵行,345
20220406,宝山,148
20220406,嘉定,106
20220406,金山,18
20220406,松江,84
20220406,青浦,25
20220406,奉贤,30
20220406,崇明,9
20220407,浦东,1807
20220407,黄浦,124
20220407,徐汇,283
20220407,长宁,145
20220407,静安,159
20220407,普陀,143
20220407,虹口,103
20220407,杨浦,133
20220407,闵行,436
20220407,宝山,151
20220407,嘉定,125
20220407,金山,90
20220407,松江,190
20220407,青浦,29
20220407,奉贤,60
20220407,崇明,11
20220408,浦东,2134
20220408,黄浦,161
20220408,徐汇,386
20220408,长宁,160
20220408,静安,192
20220408,普陀,157
20220408,虹口,117
20220408,杨浦,142
20220408,闵行,481
20220408,宝山,170
20220408,嘉定,235
20220408,金山,129
20220408,松江,292
20220408,青浦,52
20220408,奉贤,72
20220408,崇明,14
20220409,浦东,2596
20220409,黄浦,257
20220409,徐汇,407
20220409,长宁,178
20220409,静安,211
20220409,普陀,175
20220409,虹口,118
20220409,杨浦,173
20220409,闵行,542
20220409,宝山,195
20220409,嘉定,234
20220409,金山,151
20220409,松江,289
20220409,青浦,58
20220409,奉贤,81
20220409,崇明,18
20220410,浦东,2704
20220410,黄浦,285
20220410,徐汇,431
20220410,长宁,171
20220410,静安,227
20220410,普陀,175
20220410,虹口,118
20220410,杨浦,223
20220410,闵行,606
20220410,宝山,207
20220410,嘉定,281
20220410,金山,149
20220410,松江,573
20220410,青浦,51
20220410,奉贤,87
20220410,崇明,18
20220411,浦东,3112
20220411,黄浦,382
20220411,徐汇,445
20220411,长宁,170
20220411,静安,236
20220411,普陀,205
20220411,虹口,132
20220411,杨浦,238
20220411,闵行,622
20220411,宝山,240
20220411,嘉定,296
